,Processor,Prompt,Model,Micro,Macro,Kappa,Recall_type-1,Recall_type-2,Recall_type-3,Recall_type-4
35,defaultpatch,llm4cc-integrated-patch,hermes3:8b,0.1496437054631829,0.22059597439269168,-0.030770481675480355,0.47183098591549294,0.08,0.03824521934758155,0.2923076923076923
36,method,llm4cc-clone_type,magicoder:7b-s-cl,0.17194928684627575,0.21967657120826134,0.02068619318945497,0.7077464788732394,0.04,0.007882882882882882,0.12307692307692308
37,method,llm4cc-integrated,magicoder:7b-s-cl,0.1109350237717908,0.23781390003220987,0.014463258590256878,0.29225352112676056,0.48,0.04054054054054054,0.13846153846153847
38,method,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.17036450079239301,0.21794388646501323,0.0765621330888191,0.721830985915493,0.04,0.0022522522522522522,0.1076923076923077
39,method,llm4cc-integrated-patch,magicoder:7b-s-cl,0.10776545166402536,0.24125567333313813,0.013421793682620198,0.31338028169014087,0.44,0.02702702702702703,0.18461538461538463
40,method,llm4cc-clone_type,codellama:7b-instruct,0.18938193343898574,0.207226301328414,-0.0008744877501942749,0.6971830985915493,0.0,0.039414414414414414,0.09230769230769231
41,method,llm4cc-integrated,codellama:7b-instruct,0.1386687797147385,0.2700154827091447,-0.016820077355159224,0.4084507042253521,0.52,0.04391891891891892,0.1076923076923077
42,method,llm4cc-clone_type-patch,codellama:7b-instruct,0.196513470681458,0.27437928855182375,0.02195291774400765,0.6866197183098591,0.2,0.041666666666666664,0.16923076923076924
43,method,llm4cc-integrated-patch,codellama:7b-instruct,0.15213946117274169,0.23221275853318107,-0.009099034199096634,0.4894366197183099,0.2,0.039414414414414414,0.2
44,method,llm4cc-clone_type,codellama:13b-instruct,0.20443740095087162,0.21579125306237984,0.08227355758714461,0.721830985915493,0.04,0.05518018018018018,0.046153846153846156
45,method,llm4cc-integrated,codellama:13b-instruct,0.15213946117274169,0.27733498531033746,0.030433839822046727,0.36619718309859156,0.56,0.07545045045045046,0.1076923076923077
46,method,llm4cc-clone_type-patch,codellama:13b-instruct,0.24167987321711568,0.26168843274477077,0.10909827231746683,0.8415492957746479,0.12,0.06981981981981981,0.015384615384615385
47,method,llm4cc-integrated-patch,codellama:13b-instruct,0.15689381933438987,0.23884221301474823,0.04141612226875968,0.43661971830985913,0.36,0.06644144144144144,0.09230769230769231
48,method,llm4cc-clone_type,deepseek-coder:6.7b,0.15689381933438987,0.2410160390618137,-0.09223452203839821,0.6056338028169014,0.28,0.016891891891891893,0.06153846153846154
49,method,llm4cc-integrated,deepseek-coder:6.7b,0.1196513470681458,0.23797368061452567,-0.08935278203807373,0.4788732394366197,0.44,0.0022522522522522522,0.03076923076923077
50,method,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.18225039619651348,0.23054936165851658,-0.05947154302895119,0.7711267605633803,0.04,0.0033783783783783786,0.1076923076923077
51,method,llm4cc-integrated-patch,deepseek-coder:6.7b,0.13549920760697307,0.2888702136589461,-0.07704366477803859,0.5316901408450704,0.56,0.0022522522522522522,0.06153846153846154
52,method,llm4cc-clone_type,codegemma:7b-instruct,0.22107765451664024,0.27251354279523293,0.0013218611031502459,0.9577464788732394,0.04,0.0,0.09230769230769231
53,method,llm4cc-integrated,codegemma:7b-instruct,0.17670364500792393,0.2870557963163597,0.02678747043180152,0.7359154929577465,0.32,0.0,0.09230769230769231
54,method,llm4cc-clone_type-patch,codegemma:7b-instruct,0.21949286846275753,0.2521368944784438,-0.0023868850343922166,0.9612676056338029,0.0,0.0011261261261261261,0.046153846153846156
55,method,llm4cc-integrated-patch,codegemma:7b-instruct,0.1838351822503962,0.29756755536685114,-0.032053475655603236,0.7676056338028169,0.36,0.0011261261261261261,0.06153846153846154
56,method,llm4cc-clone_type,qwen2.5:7b,0.18225039619651348,0.28207969751983836,0.08565362808448251,0.7464788732394366,0.24,0.0033783783783783786,0.13846153846153847
57,method,llm4cc-integrated,qwen2.5:7b,0.17274167987321712,0.21791094453066284,-0.02851361668443908,0.5070422535211268,0.04,0.06306306306306306,0.26153846153846155
58,method,llm4cc-clone_type-patch,qwen2.5:7b,0.17274167987321712,0.2247481040086674,0.045694853380558675,0.7359154929577465,0.04,0.0,0.12307692307692308
59,method,llm4cc-integrated-patch,qwen2.5:7b,0.1576862123613312,0.23361260773232603,-0.042882774747657004,0.5070422535211268,0.2,0.04279279279279279,0.18461538461538463
60,method,llm4cc-clone_type,qwen2.5-coder:7b,0.22741679873217116,0.26450433369447457,0.003640645016057431,0.9964788732394366,0.0,0.0,0.06153846153846154
61,method,llm4cc-integrated,qwen2.5-coder:7b,0.1735340729001585,0.2726896113339775,-0.019531389179350045,0.6408450704225352,0.2,0.019144144144144143,0.23076923076923078
62,method,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.22503961965134706,0.25593174431202603,0.0005004640224675061,0.9929577464788732,0.0,0.0,0.03076923076923077
63,method,llm4cc-integrated-patch,qwen2.5-coder:7b,0.1862123613312203,0.3155528754648473,0.015608848381277851,0.7007042253521126,0.36,0.016891891891891893,0.18461538461538463
64,method,llm4cc-clone_type,yi-coder:9b,0.16719492868462757,0.24583377255912467,-0.03298014431295582,0.6161971830985915,0.16,0.02252252252252252,0.18461538461538463
65,method,llm4cc-integrated,yi-coder:9b,0.1386687797147385,0.26816440221369797,-0.05418737382625283,0.5176056338028169,0.48,0.013513513513513514,0.06153846153846154
66,method,llm4cc-clone_type-patch,yi-coder:9b,0.1774960380348653,0.2865873864113301,-0.010706909069585935,0.6514084507042254,0.2,0.018018018018018018,0.27692307692307694
67,method,llm4cc-integrated-patch,yi-coder:9b,0.14580031695721077,0.2651709686392785,-0.048602568252940515,0.5422535211267606,0.44,0.016891891891891893,0.06153846153846154
68,method,llm4cc-clone_type,hermes3:8b,0.05467511885895404,0.2583229261222219,-0.0020219257145293046,0.017605633802816902,0.12,0.0033783783783783786,0.8923076923076924
69,method,llm4cc-integrated,hermes3:8b,0.17432646592709986,0.22348703795886893,-0.029182518507619548,0.704225352112676,0.04,0.01126126126126126,0.13846153846153847
